Top100,Name,Pos,Org,Age,H,W,B,T,Hit,Pitch Sel,Bat Ctrl,Game,Raw,Spd,Fld,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,playerId
,Yiddi Cappe,SS,MIA,19.9694444,"6' 3""",175,R,R,25 / 50,45,55,20 / 50,45 / 60,55 / 55,40 / 50,,,,,,,,,,,45+,sa3015515
,Ian Lewis,2B,MIA,19.5055555,"5' 10""",177,S,R,20 / 45,30,60,20 / 55,45 / 60,70 / 70,40 / 55,,,,,,,,,,,45+,sa3014691
,Peyton Graham,SS,DET,21.5277777,"6' 4""",185,R,R,30 / 40,40,40,35 / 50,50 / 60,50 / 50,45 / 60,,,,,,,,,,,45+,
,Endy Rodriguez,C,PIT,22.25,"6' 0""",170,S,R,35 / 70,55,70,30 / 35,30 / 40,45 / 40,45 / 55,,,,,,,,,,,45+,sa3008272
,Matt Fraizer,CF,PIT,24.5666666,"6' 3""",217,L,R,40 / 50,40,50,40 / 50,50 / 50,55 / 55,40 / 45,,,,,,,,,,,45+,sa918983
,Garrett Mitchell,CF,MIL,23.9222222,"6' 3""",215,L,R,35 / 50,60,40,30 / 45,60 / 60,70 / 70,45 / 55,,,,,,,,,,,45+,sa3014438
,Bryan Ramos,3B,CHW,20.4,"6' 2""",190,R,R,35 / 50,40,55,35 / 55,50 / 60,50 / 45,35 / 60,,,,,,,,,,,45+,sa3010024
,Allan Cerda,RF,CIN,22.7,"6' 5""",220,R,R,30 / 40,40,40,35 / 60,60 / 70,50 / 50,40 / 50,,,,,,,,,,,45+,sa3005504
,Cristhian Vaquero,CF,WSN,17.8972222,"6' 3""",180,L,R,20 / 50,,55,25 / 60,45 / 60,60 / 55,30 / 50,,,,,,,,,,,45+,sa3018403
,Everson Pereira,CF,NYY,21.3222222,"6' 0""",210,R,R,30 / 40,50,40,35 / 60,55 / 60,55 / 55,40 / 45,,,,,,,,,,,45+,sa3007034
,Roderick Arias,SS,NYY,17.9083333,"6' 1""",180,S,R,25 / 60,,50,20 / 50,40 / 50,55 / 50,45 / 60,,,,,,,,,,,45+,
,Antonio Gomez,C,NYY,20.7305555,"6' 2""",200,R,R,30 / 45,45,40,30 / 40,45 / 50,40 / 30,45 / 60,,,,,,,,,,,45+,sa3008746
,Bryan Lavastida,C,CLE,23.6916666,"6' 0""",200,R,R,35 / 45,50,40,35 / 45,50 / 50,40 / 40,40 / 45,,,,,,,,,,,45+,24765
,Jose Ramos,RF,LAD,21.5972222,"5' 11""",180,R,R,30 / 45,45,50,35 / 60,60 / 65,50 / 45,40 / 55,,,,,,,,,,,45+,sa3008845
,Mikey Romero,2B,BOS,18.5666666,"6' 1""",175,L,R,25 / 60,45,60,20 / 45,40 / 50,50 / 45,30 / 40,,,,,,,,,,,45,
,Ronaldo Hernandez,C,BOS,24.7361111,"6' 1""",230,R,R,30 / 35,30,45,40 / 45,60 / 60,30 / 30,40 / 40,,,,,,,,,,,45,sa881850
,Gilberto Jimenez,CF,BOS,22.0777777,"5' 11""",212,R,R,35 / 55,30,60,30 / 35,45 / 50,70 / 70,45 / 60,,,,,,,,,,,45,sa3005507
,Warming Bernabel,3B,COL,20.1666666,"6' 0""",180,R,R,35 / 55,30,60,35 / 50,45 / 50,40 / 40,30 / 50,,,,,,,,,,,45,sa3008761
,Benny Montgomery,CF,COL,19.9083333,"6' 3""",185,R,R,20 / 50,45,45,20 / 40,45 / 60,70 / 70,40 / 55,,,,,,,,,,,45,sa3017169
,Ethan Wilson,LF,PHI,22.7472222,"6' 0""",210,L,L,30 / 50,45,50,30 / 50,60 / 60,55 / 55,35 / 55,,,,,,,,,,,45,sa3017329
,Kameron Misner,CF,TBR,24.5777777,"6' 4""",218,L,L,30 / 40,55,45,40 / 50,60 / 60,60 / 60,50 / 55,,,,,,,,,,,45,sa3011656
,Willy Vasquez,CF,TBR,20.9166666,"6' 0""",195,R,R,35 / 60,40,55,30 / 45,55 / 60,55 / 50,40 / 50,,,,,,,,,,,45,sa3011821
,Luis Garcia,SS,PHI,21.7916666,"5' 11""",170,S,R,30 / 55,50,50,30 / 35,45 / 50,55 / 55,45 / 55,,,,,,,,,,,45,sa3007295
,Jonathan Aranda,2B,TBR,24.2027777,"5' 10""",220,L,R,55 / 60,,,40 / 45,50 / 50,20 / 20,30 / 30,,,,,,,,,,,45,21837
,Peyton Burdick,CF,MIA,25.4444444,"6' 0""",210,R,R,30 / 40,45,35,40 / 60,70 / 70,55 / 55,45 / 50,,,,,,,,,,,45,25459
,Jordan Groshans,3B,MIA,22.7388888,"6' 4""",190,R,R,45 / 55,60,50,40 / 45,45 / 50,50 / 50,45 / 50,,,,,,,,,,,45,sa3006893
,Cody Morissette,2B,MIA,22.5555555,"6' 0""",175,L,R,35 / 55,55,55,20 / 45,45 / 45,55 / 55,40 / 45,,,,,,,,,,,45,sa3017158
,Cristian Santana,SS,DET,18.6972222,"6' 0""",165,R,R,25 / 60,,60,25 / 50,40 / 50,50 / 45,40 / 45,,,,,,,,,,,45,sa3015697
,Colt Keith,3B,DET,20.9777777,"6' 3""",195,L,R,35 / 55,,55,30 / 50,45 / 50,40 / 40,30 / 50,,,,,,,,,,,45,sa3014474
,Ji-hwan Bae,2B,PIT,23.0277777,"6' 1""",185,L,R,50 / 70,50,70,20 / 30,35 / 40,65 / 60,40 / 50,,,,,,,,,,,45,sa3006895
,Travis Swaggerty,CF,PIT,24.9638888,"5' 10""",200,L,L,40 / 50,55,50,30 / 50,60 / 60,65 / 65,55 / 60,,,,,,,,,,,45,24491
,Nelson Velazquez,RF,CHC,23.6111111,"6' 0""",190,R,R,30 / 35,35,45,40 / 50,60 / 60,50 / 40,50 / 55,,,,,,,,,,,45,23359
,Brice Turang,SS,MIL,22.7083333,"6' 1""",173,L,R,40 / 40,70,40,30 / 35,50 / 50,55 / 55,60 / 60,,,,,,,,,,,45,sa3008294
,Miguel Amaya,C,CHC,23.4083333,"6' 1""",230,R,R,40 / 50,55,45,30 / 40,50 / 50,40 / 30,50 / 60,,,,,,,,,,,45,sa917354
,Jeferson Quero,C,MIL,19.8277777,"5' 11""",190,R,R,25 / 50,,,20 / 55,50 / 60,30 / 20,40 / 60,,,,,,,,,,,45,sa3015407
,Alexander Canario,RF,CHC,22.2472222,"6' 1""",165,R,R,30 / 40,40,40,35 / 60,55 / 60,50 / 45,45 / 50,,,,,,,,,,,45,sa3003316
,Felix Valerio,2B,MIL,21.6111111,"5' 7""",165,R,R,35 / 70,60,60,30 / 40,30 / 30,45 / 45,40 / 45,,,,,,,,,,,45,sa3005613
,Ed Howard,SS,CHC,20.5222222,"6' 1""",195,R,R,30 / 45,45,55,30 / 45,40 / 45,50 / 50,45 / 70,,,,,,,,,,,45,sa3014540
,Tyler Black,2B,MIL,22.0277777,"6' 2""",190,L,R,35 / 60,40,40,40 / 45,45 / 50,45 / 45,45 / 45,,,,,,,,,,,45,sa3017623
,Eric Brown Jr.,2B,MIL,21.6305555,"5' 11""",190,R,R,35 / 60,50,55,30 / 40,40 / 45,55 / 55,45 / 60,,,,,,,,,,,45,
,Robert Moore,2B,MIL,20.35,"5' 9""",170,S,R,35 / 55,55,55,30 / 45,40 / 45,60 / 60,45 / 60,,,,,,,,,,,45,
,Dustin Harris,1B,TEX,23.0777777,"6' 2""",185,L,R,35 / 45,40,55,45 / 60,60 / 70,50 / 50,30 / 40,,,,,,,,,,,45,sa3010279
,Yeison Morrobel,CF,TEX,18.6611111,"6' 2""",170,L,L,25 / 60,,60,20 / 45,40 / 50,55 / 60,30 / 45,,,,,,,,,,,45,sa3015720
,Colin Barber,CF,HOU,21.6722222,"6' 0""",194,L,L,35 / 70,45,60,30 / 45,45 / 50,60 / 60,40 / 50,,,,,,,,,,,45,sa3010696
,Yainer Diaz,C,HOU,23.875,"6' 0""",225,R,R,40 / 45,30,50,40 / 50,60 / 60,20 / 20,45 / 50,,,,,,,,,,,45,sa3003386
,Korey Lee,C,HOU,24.0305555,"6' 2""",210,R,R,30 / 35,50,45,30 / 45,55 / 55,50 / 50,40 / 45,,,,,,,,,,,45,25543
,Drew Gilbert,CF,HOU,21.8583333,"5' 9""",185,L,L,35 / 60,60,60,30 / 40,45 / 45,60 / 60,45 / 60,,,,,,,,,,,45,
,Pedro Leon,CF,HOU,24.1888888,"5' 9""",200,R,R,30 / 40,55,40,40 / 50,55 / 55,60 / 60,40 / 50,,,,,,,,,,,45,sa3014838
,Noah Miller,SS,MIN,19.7333333,"6' 0""",185,S,R,25 / 60,45,60,20 / 45,40 / 45,40 / 40,30 / 45,,,,,,,,,,,45,sa3017512
,Matt Wallner,DH,MIN,24.65,"6' 4""",220,L,R,30 / 40,60,40,45 / 60,70 / 70,40 / 40,20 / 30,,,,,,,,,,,45,sa918808
,Lenyn Sosa,2B,CHW,22.5305555,"6' 0""",180,R,R,45 / 55,30,55,30 / 40,40 / 45,40 / 30,30 / 40,,,,,,,,,,,45,22896
,Jose Rodriguez,SS,CHW,21.2305555,"5' 11""",175,R,R,50 / 60,30,60,30 / 40,50 / 55,55 / 55,40 / 50,,,,,,,,,,,45,sa3005788
,Deyvison De Los Santos,3B,ARI,19.125,"6' 1""",195,R,R,20 / 40,40,50,25 / 60,60 / 70,40 / 30,20 / 40,,,,,,,,,,,45,sa3015168
,Romy Gonzalez,SS,CHW,25.9166666,"6' 1""",215,R,R,30 / 30,50,30,40 / 45,55 / 55,55 / 55,35 / 40,,,,,,,,,,,45,21562
,Kristian Robinson,RF,ARI,21.6527777,"6' 3""",190,R,R,30 / 45,50,45,30 / 60,60 / 70,60 / 50,30 / 55,,,,,,,,,,,45,sa3006884
,Leo Jimenez,SS,TOR,21.2194444,"5' 11""",170,R,R,55 / 70,60,70,30 / 30,35 / 35,50 / 50,40 / 50,,,,,,,,,,,45,sa3006891
,Josh Kasevich,3B,TOR,21.5527777,"6' 2""",200,R,R,35 / 70,40,70,30 / 35,40 / 40,40 / 40,35 / 55,,,,,,,,,,,45,
,Nick Loftin,CF,KCR,23.8638888,"6' 1""",180,R,R,50 / 60,40,60,30 / 40,45 / 45,55 / 55,40 / 55,,,,,,,,,,,45,sa3014511
,Cole Young,SS,SEA,19.0361111,"6' 0""",180,L,R,25 / 60,55,60,20 / 40,40 / 45,40 / 40,45 / 60,,,,,,,,,,,45,
,Jett Williams,CF,NYM,18.7583333,"5' 8""",178,R,R,25 / 60,45,60,20 / 45,40 / 45,70 / 70,40 / 55,,,,,,,,,,,45,
,Tyler Locklear,1B,SEA,21.7,"6' 3""",210,R,R,35 / 60,60,60,35 / 55,60 / 60,30 / 30,30 / 40,,,,,,,,,,,45,
,Mark Vientos,1B,NYM,22.6527777,"6' 4""",200,R,R,30 / 35,40,40,50 / 60,70 / 70,40 / 35,40 / 50,,,,,,,,,,,45,sa3004720
,Daniel Vellojin,C,CIN,22.3916666,"5' 11""",185,L,R,35 / 60,60,55,30 / 35,40 / 45,40 / 40,40 / 50,,,,,,,,,,,45,sa3005587
,Spencer Steer,2B,CIN,24.6638888,"5' 11""",190,R,R,40 / 50,50,55,40 / 45,50 / 50,50 / 45,40 / 45,,,,,,,,,,,45,sa3010586
,Tyler Callihan,2B,CIN,22.1222222,"6' 1""",215,L,R,35 / 55,40,60,30 / 50,55 / 55,30 / 30,30 / 35,,,,,,,,,,,45,sa1169610
,Jeremy De La Rosa,CF,WSN,20.5555555,"6' 1""",215,L,L,30 / 40,45,40,30 / 55,55 / 60,60 / 60,45 / 55,,,,,,,,,,,45,sa3011329
,Aeverson Arteaga,SS,SFG,19.3888888,"6' 1""",170,R,R,20 / 40,50,40,25 / 45,40 / 45,60 / 60,45 / 60,,,,,,,,,,,45,sa3014707
,Heliot Ramos,RF,SFG,22.9138888,"6' 2""",200,R,R,40 / 45,50,50,45 / 55,55 / 55,55 / 50,45 / 50,,,,,,,,,,,45,22515
,Arol Vera,SS,LAA,19.9,"6' 2""",170,S,R,20 / 50,35,60,20 / 40,45 / 55,50 / 50,40 / 50,,,,,,,,,,,45,sa3014687
,Jairo Pomares,RF,SFG,22.0055555,"6' 1""",185,L,R,30 / 45,30,55,35 / 50,50 / 55,55 / 50,30 / 50,,,,,,,,,,,45,sa3010023
,Oswaldo Cabrera,2B,NYY,23.4305555,"5' 10""",160,S,R,40 / 45,40,50,45 / 50,50 / 50,40 / 40,40 / 45,,,,,,,,,,,45,21707
,Trey Sweeney,3B,NYY,22.2833333,"6' 4""",200,L,R,35 / 50,60,50,35 / 55,55 / 60,40 / 40,30 / 50,,,,,,,,,,,45,sa3016973
,Spencer Jones,RF,NYY,21.2277777,"6' 7""",225,L,L,30 / 40,50,45,35 / 70,65 / 80,40 / 40,30 / 50,,,,,,,,,,,45,
,Alexander Vargas,SS,NYY,20.7694444,"6' 0""",155,S,R,30 / 55,50,45,30 / 45,35 / 50,60 / 60,45 / 60,,,,,,,,,,,45,sa3008851
,Kyle Stowers,RF,BAL,24.5944444,"6' 3""",205,L,L,35 / 40,50,45,45 / 55,55 / 55,50 / 50,50 / 55,,,,,,,,,,,45,26151
,Jud Fabian,CF,BAL,21.8583333,"6' 1""",180,R,L,30 / 35,45,40,30 / 55,50 / 60,60 / 60,45 / 60,,,,,,,,,,,45,
,Heston Kjerstad,RF,BAL,23.4833333,"6' 3""",215,S,R,30 / 50,40,60,35 / 60,55 / 60,50 / 40,30 / 50,,,,,,,,,,,45,sa3014439
,Dylan Beavers,RF,BAL,20.9861111,"6' 4""",206,L,R,30 / 40,60,40,30 / 60,60 / 70,55 / 55,30 / 50,,,,,,,,,,,45,
,Terrin Vavra,2B,BAL,25.2333333,"6' 0""",200,L,R,50 / 60,60,55,30 / 35,35 / 35,55 / 55,50 / 50,,,,,,,,,,,45,24400
,Angel Martinez,SS,CLE,20.5388888,"6' 0""",165,S,R,30 / 50,50,60,30 / 35,45 / 50,60 / 60,40 / 50,,,,,,,,,,,45,sa3008762
,Chase DeLauter,RF,CLE,20.8277777,"6' 4""",230,L,L,35 / 55,45,55,35 / 55,60 / 60,45 / 40,35 / 55,,,,,,,,,,,45,
,Jose Tena,SS,CLE,21.3777777,"5' 9""",160,L,R,40 / 45,30,50,30 / 45,45 / 50,45 / 45,50 / 55,,,,,,,,,,,45,sa3005482
,Nick Allen,SS,OAK,23.8277777,"5' 8""",166,R,R,45 / 50,40,60,20 / 30,30 / 30,60 / 60,70 / 70,,,,,,,,,,,45,22277
,Gabriel Arias,SS,CLE,22.4416666,"6' 1""",201,R,R,30 / 35,30,40,40 / 50,55 / 60,45 / 45,55 / 55,,,,,,,,,,,45,22563
,Daniel Susac,C,OAK,21.2277777,"6' 4""",205,R,R,30 / 40,45,40,35 / 55,60 / 70,35 / 30,30 / 45,,,,,,,,,,,45,
,Petey Halpin,CF,CLE,20.1944444,"6' 0""",180,L,R,35 / 60,45,60,30 / 40,35 / 45,60 / 60,45 / 55,,,,,,,,,,,45,sa3014461
,Dayan Frias,SS,CLE,20.1138888,"5' 10""",165,S,R,35 / 55,40,60,30 / 40,35 / 45,45 / 50,40 / 50,,,,,,,,,,,45,sa3008768
,Brayan Buelvas,CF,OAK,20.1611111,"5' 11""",155,R,R,35 / 60,45,60,20 / 40,40 / 45,60 / 55,45 / 55,,,,,,,,,,,45,sa3008868
,Jorbit Vivas,2B,LAD,21.4083333,"5' 10""",155,L,R,35 / 60,45,55,30 / 40,35 / 40,45 / 45,40 / 50,,,,,,,,,,,45,sa3005511
,Rayne Doncon,2B,LAD,18.8722222,"6' 2""",176,R,R,25 / 60,,60,20 / 55,40 / 55,45 / 40,30 / 45,,,,,,,,,,,45,sa3016720
,Dalton Rushing,C,LAD,21.4583333,"6' 1""",220,L,R,35 / 55,60,50,30 / 45,50 / 50,45 / 45,30 / 45,,,,,,,,,,,45,
,Jacob Amaya,SS,LAD,23.925,"6' 0""",180,R,R,45 / 50,70,60,30 / 30,40 / 40,55 / 55,50 / 55,,,,,,,,,,,45,sa3005081
,Miguel Bleis,RF,BOS,18.4305555,"6' 2""",170,R,R,20 / 50,45,50,25 / 60,45 / 60,50 / 50,30 / 50,,,,,,,,,,,45,sa3016834
,Blaze Jordan,1B,BOS,19.6305555,"6' 1""",220,R,R,25 / 55,50,55,30 / 55,55 / 60,35 / 30,30 / 55,,,,,,,,,,,40+,sa3014537
,Tyler McDonough,CF,BOS,23.3444444,"5' 10""",180,S,R,30 / 50,55,50,30 / 40,45 / 45,50 / 50,40 / 45,,,,,,,,,,,40+,sa3016869
,Eddinson Paulino,3B,BOS,20.0944444,"5' 10""",155,L,R,30 / 45,,,30 / 45,45 / 50,50 / 50,30 / 45,,,,,,,,,,,40+,sa3009538
,David Hamilton,SS,BOS,24.8527777,"5' 10""",175,L,R,35 / 50,45,60,30 / 35,40 / 40,60 / 60,50 / 55,,,,,,,,,,,40+,sa3014434
,Yanquiel Fernandez,LF,COL,19.5972222,"6' 2""",198,L,L,20 / 50,40,50,25 / 60,50 / 70,40 / 30,30 / 40,,,,,,,,,,,40+,sa3015648
,Dyan Jorge,CF,COL,19.3833333,"6' 2""",160,R,R,20 / 40,,40,20 / 45,40 / 55,60 / 60,40 / 50,,,,,,,,,,,40+,sa3018387
,Sterling Thompson,RF,COL,21.1111111,"6' 4""",200,L,R,30 / 50,50,55,30 / 55,50 / 55,50 / 50,30 / 40,,,,,,,,,,,40+,
,Hao Yu Lee,2B,PHI,19.5083333,"5' 10""",190,R,R,25 / 55,45,55,25 / 50,45 / 55,40 / 30,30 / 40,,,,,,,,,,,40+,sa3017863
,Juan Brito,2B,COL,20.8666666,"5' 11""",162,S,R,35 / 60,55,60,30 / 40,40 / 45,35 / 35,30 / 40,,,,,,,,,,,40+,sa3009808
,Cooper Kinney,3B,TBR,19.525,"6' 3""",210,L,R,25 / 55,40,55,20 / 50,45 / 50,40 / 40,30 / 45,,,,,,,,,,,40+,sa3017793
,Brian Serven,C,COL,27.2527777,"6' 0""",195,R,R,40 / 45,50,45,40 / 40,45 / 45,30 / 30,50 / 50,,,,,,,,,,,40+,19422
,Rene Pinto,C,TBR,25.7611111,"5' 10""",215,R,R,35 / 40,35,45,40 / 45,50 / 50,20 / 20,35 / 40,,,,,,,,,,,40+,19859
,Junior Caminero,3B,TBR,19.0861111,"6' 3""",180,R,R,20 / 45,55,50,25 / 55,45 / 55,40 / 40,30 / 50,,,,,,,,,,,40+,sa3015532
,Blake Hunt,C,TBR,23.7388888,"6' 3""",215,R,R,20 / 30,50,50,35 / 40,55 / 60,40 / 30,45 / 50,,,,,,,,,,,40+,sa3004153
,Osleivis Basabe,2B,TBR,21.8972222,"6' 1""",165,R,R,35 / 55,30,60,30 / 40,40 / 45,60 / 60,30 / 45,,,,,,,,,,,40+,sa3006594
,Nick Fortes,C,MIA,25.7361111,"6' 0""",210,R,R,50 / 55,55,55,30 / 35,40 / 40,40 / 40,50 / 50,,,,,,,,,,,40+,21538
,Joe Mack,C,MIA,19.6083333,"6' 1""",203,L,R,20 / 45,45,45,20 / 50,50 / 60,45 / 40,30 / 50,,,,,,,,,,,40+,sa3017374
,Nasim Nunez,SS,MIA,21.9666666,"5' 9""",158,S,R,30 / 40,45,45,30 / 35,40 / 45,60 / 60,55 / 70,,,,,,,,,,,40+,sa3010695
,Kahlil Watson,SS,MIA,19.3055555,"5' 11""",168,L,R,20 / 40,20,50,25 / 60,50 / 60,60 / 60,30 / 45,,,,,,,,,,,40+,sa3017513
,Ryan Kreidler,SS,DET,24.7333333,"6' 2""",195,R,R,35 / 45,50,50,40 / 50,50 / 50,50 / 50,50 / 50,,,,,,,,,,,40+,sa3010587
,Gage Workman,SS,DET,22.7833333,"6' 4""",200,S,R,30 / 35,50,40,30 / 50,50 / 55,50 / 50,45 / 55,,,,,,,,,,,40+,sa3014441
,Dariel Lopez,3B,PIT,20.4972222,"6' 1""",183,R,R,35 / 50,40,60,30 / 60,50 / 60,40 / 40,20 / 45,,,,,,,,,,,40+,sa3008901
,Maikol Escotto,2B,PIT,20.1722222,"5' 11""",180,R,R,20 / 45,55,40,25 / 55,50 / 60,50 / 50,40 / 50,,,,,,,,,,,40+,sa3008878
,Rodolfo Nolasco,RF,PIT,20.8694444,"6' 1""",215,R,R,30 / 50,50,50,35 / 60,50 / 60,50 / 40,30 / 50,,,,,,,,,,,40+,sa3008907
,Lonnie White Jr.,CF,PIT,19.6,"6' 3""",212,R,R,20 / 40,45,40,20 / 50,45 / 55,70 / 70,45 / 60,,,,,,,,,,,40+,sa3017628
,Reginald Preciado,3B,CHC,19.2222222,"6' 3""",189,S,R,20 / 40,40,45,20 / 60,45 / 60,40 / 40,30 / 50,,,,,,,,,,,40+,sa3014702
,Freddy Zamora,SS,MIL,23.7638888,"6' 1""",190,R,R,35 / 60,55,55,30 / 35,40 / 40,60 / 60,45 / 60,,,,,,,,,,,40+,sa3014500
,Eduardo Garcia,SS,MIL,20.0722222,"6' 2""",180,R,R,30 / 35,40,40,25 / 45,45 / 55,40 / 40,45 / 60,,,,,,,,,,,40+,sa3008751
,Christian Franklin,CF,CHC,22.6833333,"5' 11""",195,R,R,30 / 40,60,40,35 / 45,50 / 50,50 / 50,40 / 50,,,,,,,,,,,40+,sa3017510
,Aaron Zavala,RF,TEX,22.1166666,"6' 0""",193,L,R,35 / 60,55,45,30 / 35,45 / 50,50 / 50,30 / 40,,,,,,,,,,,40+,sa3017665
,Maximo Acosta,SS,TEX,19.7694444,"5' 9""",170,R,R,25 / 55,,,20 / 40,40 / 50,50 / 45,40 / 50,,,,,,,,,,,40+,sa3014711
,Ryan Clifford,LF,HOU,19.0444444,"6' 3""",215,L,L,25 / 55,50,55,25 / 60,50 / 60,40 / 30,30 / 45,,,,,,,,,,,40+,
,David Hensley,3B,HOU,26.3555555,"6' 6""",190,R,R,50 / 55,55,55,40 / 45,50 / 50,40 / 40,50 / 50,,,,,,,,,,,40+,sa3006733
,Joe Perez,3B,HOU,22.9833333,"6' 2""",198,R,R,30 / 40,55,30,45 / 55,60 / 60,40 / 40,45 / 50,,,,,,,,,,,40+,22254
,Samuel Zavala,RF,SDP,18.0583333,"6' 1""",190,L,L,25 / 60,,60,20 / 45,40 / 50,50 / 50,30 / 50,,,,,,,,,,,40+,sa3015718
,Misael Urbina,LF,MIN,20.275,"6' 0""",175,R,R,30 / 55,45,55,30 / 50,45 / 50,50 / 50,30 / 45,,,,,,,,,,,40+,sa3008743
,Wes Kath,3B,CHW,20.0083333,"6' 3""",200,L,R,30 / 40,45,55,25 / 50,45 / 55,50 / 45,45 / 60,,,,,,,,,,,40+,sa3017172
,A.J. Vukovich,1B,ARI,21.0444444,"6' 5""",210,R,R,30 / 45,30,50,35 / 55,60 / 70,30 / 20,35 / 45,,,,,,,,,,,40+,sa3014525
,Gabriel Martinez,RF,TOR,21.0333333,"6' 0""",170,R,R,35 / 50,55,55,30 / 50,45 / 50,45 / 45,30 / 50,,,,,,,,,,,40+,sa3008865
,Manuel Pena,3B,ARI,18.6694444,"6' 2""",185,L,R,20 / 50,,,25 / 55,45 / 60,45 / 40,40 / 50,,,,,,,,,,,40+,sa3015715
,Cade Doughty,3B,TOR,21.3611111,"6' 1""",205,R,R,30 / 45,40,55,35 / 55,50 / 55,45 / 45,20 / 35,,,,,,,,,,,40+,
,Tucker Toman,2B,TOR,18.7333333,"6' 1""",187,S,R,20 / 40,50,45,25 / 55,50 / 60,50 / 50,30 / 40,,,,,,,,,,,40+,
,Rikelbin De Castro,SS,TOR,19.5361111,"6' 0""",160,R,R,20 / 50,45,55,20 / 35,30 / 45,60 / 55,45 / 60,,,,,,,,,,,40+,sa3014714
,Maikel Garcia,SS,KCR,22.425,"6' 0""",145,R,R,45 / 55,60,60,30 / 30,30 / 35,50 / 50,55 / 60,,,,,,,,,,,40+,22715
,Cayden Wallace,3B,KCR,20.9972222,"6' 0""",205,R,R,30 / 40,50,40,30 / 55,50 / 55,50 / 50,30 / 45,,,,,,,,,,,40+,
,Drew Waters,CF,KCR,23.6,"6' 2""",183,S,R,30 / 35,30,45,40 / 45,55 / 55,60 / 60,45 / 45,,,,,,,,,,,40+,sa3004378
,Lazaro Montes,RF,SEA,17.7888888,"6' 4""",205,L,L,20 / 45,,50,25 / 60,50 / 70,40 / 50,20 / 40,,,,,,,,,,,40+,sa3018409
,Austin Hendrick,RF,CIN,21.1416666,"6' 1""",195,L,L,20 / 40,50,30,25 / 55,60 / 60,50 / 45,30 / 45,,,,,,,,,,,40+,sa3014521
,Cade Hunter,C,CIN,21.6861111,"6' 2""",200,L,R,30 / 40,,,35 / 50,55 / 60,40 / 40,40 / 55,,,,,,,,,,,40+,
,Jay Allen II,CF,CIN,19.7055555,"6' 3""",190,R,R,20 / 40,45,40,20 / 55,50 / 60,55 / 55,40 / 50,,,,,,,,,,,40+,sa3017403
,Rece Hinds,RF,CIN,21.9194444,"6' 4""",220,R,R,30 / 40,45,40,35 / 60,65 / 70,45 / 40,40 / 50,,,,,,,,,,,40+,sa1169587
,Yerlin Confidan,RF,CIN,19.6388888,"6' 5""",210,L,L,20 / 35,30,40,25 / 60,60 / 70,50 / 40,30 / 50,,,,,,,,,,,40+,sa3015176
,Diego Benitez,3B,ATL,17.7138888,"6' 1""",190,R,R,25 / 55,,,20 / 50,45 / 55,40 / 40,35 / 55,,,,,,,,,,,40+,sa3018391
,Matheu Nelson,C,CIN,23.5611111,"5' 11""",220,R,R,30 / 40,45,45,35 / 50,60 / 60,30 / 30,35 / 40,,,,,,,,,,,40+,sa3017328
,Geraldo Quintero,SS,ATL,20.8222222,"5' 8""",155,R,R,35 / 60,50,60,30 / 40,30 / 40,60 / 60,40 / 50,,,,,,,,,,,40+,sa3008942
,Edgar Quero,C,LAA,19.3333333,"5' 11""",170,S,R,25 / 55,60,50,20 / 40,40 / 50,30 / 20,40 / 50,,,,,,,,,,,40+,sa3015239
,Denzer Guzman,SS,LAA,18.4944444,"6' 2""",165,R,R,20 / 50,,40,20 / 40,40 / 50,45 / 40,40 / 50,,,,,,,,,,,40+,sa3015711
,Adrian Placencia,2B,LAA,19.1777777,"5' 11""",155,S,R,20 / 55,,,20 / 40,40 / 50,50 / 50,30 / 50,,,,,,,,,,,40+,sa3014688
,Ford Proctor,C,SFG,25.6722222,"6' 1""",195,L,R,50 / 60,55,55,30 / 35,40 / 40,45 / 45,30 / 40,,,,,,,,,,,40+,sa876187
,Jeremiah Jackson,SS,LAA,22.3611111,"6' 0""",175,R,R,30 / 35,45,40,35 / 55,55 / 60,55 / 55,40 / 50,,,,,,,,,,,40+,sa3007740
,Patrick Bailey,C,SFG,23.1861111,"6' 2""",192,S,R,35 / 60,55,55,30 / 40,50 / 50,30 / 30,40 / 50,,,,,,,,,,,40+,sa3014442
,Jordyn Adams,CF,LAA,22.8,"6' 2""",180,R,R,30 / 35,50,40,30 / 45,60 / 60,80 / 80,40 / 60,,,,,,,,,,,40+,sa3008032
,Casey Schmitt,3B,SFG,23.4305555,"6' 2""",200,R,R,35 / 55,45,55,30 / 45,50 / 55,40 / 40,45 / 60,,,,,,,,,,,40+,sa3014484
,Werner Blakely,3B,LAA,20.4583333,"6' 3""",180,L,R,30 / 35,,,30 / 50,45 / 60,45 / 45,35 / 55,,,,,,,,,,,40+,sa3014502
,Luis Toribio,3B,SFG,21.8555555,"6' 1""",210,L,R,30 / 50,55,45,30 / 55,55 / 60,40 / 30,30 / 40,,,,,,,,,,,40+,sa3005541
,Leandro Arias,SS,BAL,17.5027777,"6' 1""",170,S,R,25 / 60,,60,20 / 40,20 / 45,55 / 60,45 / 60,,,,,,,,,,,40+,
,Connor Norby,2B,BAL,22.1611111,"5' 10""",187,R,R,35 / 55,45,55,30 / 45,40 / 45,50 / 50,40 / 50,,,,,,,,,,,40+,sa3017019
