Name,Pos,Bio.Class,Hit,Game,Raw,Spd,Fld,Arm,B,T,H,W,Class,Pos.Class
Jonah Heim,C,Position,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,Catcher,C
Jonathan Schoop,2B,Position,50,50,50,60,70,NA,R,R,50,70,Position,MI
Jonathan Villar,2B,Position,50,50,60,60,30,NA,S,R,50,70,Position,MI
Jorge Alfaro,C,Position,50,50,60,70,NA,70,R,R,60,70,Catcher,C
Jorge Polanco,2B,Position,60,60,60,60,40,NA,S,R,40,50,Position,MI
Jorge Soler,LF,Position,40,70,70,50,40,NA,R,R,70,70,Position,OF
Jose Abreu,1B,Position,70,60,70,50,60,NA,R,R,60,70,Position,CI
Jose Altuve,2B,Position,60,60,40,60,60,NA,R,R,30,40,Position,MI
Jose Herrera,C,Position,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,Catcher,C
Jose Iglesias,SS,Position,70,40,30,60,60,NA,R,R,40,50,Position,MI
Jose Ramirez,3B,Position,60,70,50,60,50,NA,S,R,30,50,Position,CI
Jose Trevino,C,Position,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,Catcher,C
Josh Bell,1B,Position,60,60,60,50,60,NA,S,R,70,80,Position,CI
Josh Donaldson,3B,Position,50,60,60,40,50,NA,R,R,50,60,Position,CI
Josh Naylor,1B,Position,50,50,60,50,60,NA,L,L,40,70,Position,CI
Juan Soto,RF,Position,60,60,60,50,50,NA,L,L,60,60,Position,OF
Jurickson Profar,LF,Position,50,50,50,50,40,NA,S,R,50,40,Position,OF
Justin Turner,3B,Position,70,60,60,40,50,NA,R,R,40,50,Position,CI
Keibert Ruiz,C,Position,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,Catcher,C
Keston Hiura,1B,Position,50,70,70,60,40,NA,R,R,50,50,Position,CI
Ketel Marte,2B,Position,70,60,60,60,50,NA,S,R,50,60,Position,MI
Kevin Kiermaier,CF,Position,50,40,50,70,60,NA,L,R,50,60,Position,OF
Kevin Newman,2B,Position,60,40,40,60,50,NA,R,R,50,50,Position,MI
Kevin Pillar,LF,Position,NA,NA,NA,NA,50,NA,R,R,50,50,Position,OF
Kevin Plawecki,C,Position,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,Catcher,C
Kole Calhoun,RF,Position,40,60,60,40,50,NA,L,L,40,50,Position,OF
Kolten Wong,2B,Position,60,40,50,50,50,NA,L,R,30,40,Position,MI
Kurt Suzuki,C,Position,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,Catcher,C
Kyle Higashioka,C,Position,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,Catcher,C
Kyle Schwarber,LF,Position,40,70,70,50,30,NA,L,R,50,60,Position,OF
Kyle Tucker,RF,Position,60,60,60,60,60,NA,L,R,70,50,Position,OF
Leury Garcia,2B,Position,50,40,50,70,50,NA,S,R,30,50,Position,MI
Lourdes Gurriel Jr.,LF,Position,70,60,60,50,40,NA,R,R,70,60,Position,OF
Luis Arraez,1B,Position,80,40,60,50,40,NA,L,R,40,40,Position,CI
Luis Robert,CF,Position,70,60,60,60,50,NA,R,R,60,60,Position,OF
Luis Torrens,C,Position,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,Catcher,C
Luis Urias,3B,Position,50,50,50,50,30,NA,R,R,30,40,Position,CI
Luke Maile,C,Position,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,Catcher,C
Luke Voit,1B,Position,50,70,60,40,50,NA,R,R,60,80,Position,CI
Maikel Franco,3B,Position,50,50,50,40,40,NA,R,R,50,60,Position,CI
Manny Machado,3B,Position,70,70,70,50,50,NA,R,R,60,60,Position,CI
Manuel Margot,RF,Position,50,40,60,70,80,NA,R,R,40,40,Position,OF
Marcell Ozuna,DH,Position,50,70,60,50,NA,NA,R,R,50,60,Position,DH
Marcus Semien,2B,Position,50,60,50,70,50,NA,R,R,50,50,Position,MI
Mark Canha,LF,Position,50,50,50,60,50,NA,R,R,60,60,Position,OF
Martin Maldonado,C,Position,30,50,50,30,NA,70,R,R,50,70,Catcher,C
Marwin Gonzalez,SS,Position,40,50,50,50,60,NA,S,R,50,50,Position,MI
Matt Chapman,3B,Position,40,60,70,60,60,NA,R,R,50,60,Position,CI
Matt Olson,1B,Position,50,70,70,50,70,NA,L,R,70,60,Position,CI
Matt Thaiss,C,Position,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,Catcher,C
Max Kepler,RF,Position,40,60,60,60,70,NA,L,L,70,60,Position,OF
Max Muncy,3B,Position,40,70,60,60,40,NA,L,R,50,60,Position,CI
Max Stassi,C,Position,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,Catcher,C
Meibrys Viloria,C,Position,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,Catcher,C
Michael Brantley,DH,Position,70,50,60,50,NA,NA,L,L,60,60,Position,DH
Michael Papierski,C,Position,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,Catcher,C
Michael Perez,C,Position,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,Catcher,C
Miguel Cabrera,DH,Position,60,50,60,30,NA,NA,R,R,70,80,Position,DH
Miguel Rojas,SS,Position,60,40,40,50,60,NA,R,R,50,50,Position,MI
Miguel Sano,1B,Position,NA,NA,NA,NA,50,NA,R,R,70,80,Position,CI
Mike Moustakas,DH,Position,40,50,50,40,NA,NA,L,R,50,60,Position,DH
Mike Trout,CF,Position,70,80,70,70,40,NA,R,R,60,70,Position,OF
Mike Yastrzemski,CF,Position,50,60,60,60,40,NA,L,L,40,40,Position,OF
Mike Zunino,C,Position,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,Catcher,C
Mitch Garver,DH,Position,50,70,60,50,NA,50,R,R,50,60,Catcher,DH
Mitch Haniger,RF,Position,50,70,70,60,50,NA,R,R,60,60,Position,OF
MJ Melendez,C,Position,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,Catcher,C
Mookie Betts,RF,Position,60,70,60,60,60,NA,R,R,30,40,Position,OF
Nelson Cruz,DH,Position,60,70,60,40,NA,NA,R,R,60,70,Position,DH
Nick Ahmed,SS,Position,NA,NA,NA,NA,70,NA,R,R,60,50,Position,MI
Nick Castellanos,RF,Position,60,60,50,60,30,NA,R,R,70,50,Position,OF
Nick Fortes,C,Position,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,Catcher,C
Nicky Lopez,2B,Position,50,30,40,60,80,NA,L,R,40,40,Position,MI
Nolan Arenado,3B,Position,60,70,50,40,70,NA,R,R,60,60,Position,CI
Omar Narvaez,C,Position,50,50,40,40,NA,50,L,R,40,60,Catcher,C
Ozzie Albies,2B,Position,60,60,50,60,60,NA,S,R,30,30,Position,MI
P.J. Higgins,C,Position,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,Catcher,C
Patrick Mazeika,C,Position,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,Catcher,C
Paul DeJong,SS,Position,30,60,50,60,60,NA,R,R,50,50,Position,MI
Paul Goldschmidt,1B,Position,70,60,60,50,70,NA,R,R,60,60,Position,CI
Pete Alonso,1B,Position,50,80,60,50,50,NA,R,R,60,70,Position,CI
Rafael Devers,3B,Position,70,70,70,50,40,NA,L,R,50,70,Position,CI
Raimel Tapia,LF,Position,70,40,50,60,50,NA,L,L,60,40,Position,OF
Ramon Laureano,RF,Position,50,60,50,60,50,NA,R,R,40,50,Position,OF
Randal Grichuk,RF,Position,50,60,60,60,60,NA,R,R,60,60,Position,OF
Reese McGuire,C,Position,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,Catcher,C
Rene Pinto,C,Position,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,Catcher,C
Rhys Hoskins,1B,Position,50,70,60,50,50,NA,R,R,70,70,Position,CI
Riley Adams,C,Position,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,Catcher,C
Robbie Grossman,LF,Position,40,40,50,60,60,NA,S,L,50,60,Position,OF
Robinson Chirinos,C,Position,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,Catcher,C
Ronald Acuna Jr.,RF,Position,60,70,70,70,50,NA,R,R,50,50,Position,OF
Rougned Odor,2B,Position,30,60,50,60,60,NA,L,R,40,50,Position,MI
Rowdy Tellez,1B,Position,40,60,60,40,50,NA,L,L,70,80,Position,CI
Ryan Jeffers,C,Position,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,Catcher,C
Ryan McMahon,3B,Position,50,60,70,50,50,NA,L,R,60,60,Position,CI
Salvador Perez,C,Position,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,Catcher,C
