Name,Top100,Pos,Class,Org,Age,H,W,B,T,Hit,Game,Raw,Spd,Fld,Arm,FB,SL,CB,CH,CMD,Bio.Class,Ht,Wt,Pos.Class
Maikol Escotto,NA,2B,Position,PIT,20,40,50,R,R,50,60,60,50,50,60,NA,NA,NA,NA,NA,Position,"5' 11""",180,MI
Maikol Hernandez,NA,SS,Position,BAL,19,60,50,R,R,50,50,50,40,50,60,NA,NA,NA,NA,NA,Position,"6' 3""",175,MI
Malcom Nunez,NA,DH,Position,PIT,21,40,60,R,R,60,60,60,20,20,55,NA,NA,NA,NA,NA,Position,"5' 11""",205,DH
Manuel Beltre,NA,SS,Position,TOR,18,40,40,R,R,60,40,50,60,50,50,NA,NA,NA,NA,NA,Position,"5' 11""",165,MI
Manuel Mercedes,NA,SP,Pitcher,SFG,20,60,40,R,R,NA,NA,NA,NA,NA,NA,60,50,NA,60,45,Pitcher,"6' 3""",162,SP
Manuel Pena,NA,3B,Position,ARI,18,60,50,L,R,50,60,60,40,50,50,NA,NA,NA,NA,NA,Position,"6' 2""",185,CI
Manuel Sequera,NA,2B,Position,DET,20,50,40,R,R,40,50,60,30,50,50,NA,NA,NA,NA,NA,Position,"6' 1""",170,MI
Marc Church,NA,SIRP,Pitcher,TEX,21,60,50,R,R,NA,NA,NA,NA,NA,NA,70,60,NA,NA,55,Pitcher,"6' 3""",190,RP
Marcelo Mayer,19,SS,Position,BOS,19,60,50,L,R,60,60,60,40,50,60,NA,NA,NA,NA,NA,Position,"6' 3""",188,MI
Marco Luciano,18,SS,Position,SFG,21,60,60,R,R,60,60,70,50,40,50,NA,NA,NA,NA,NA,Position,"6' 2""",208,MI
Marco Raya,NA,SP,Pitcher,MIN,20,50,40,R,R,NA,NA,NA,NA,NA,NA,50,50,NA,60,55,Pitcher,"6' 0""",165,SP
Marcos Cabrera,NA,3B,Position,NYY,20,60,50,R,R,40,60,60,40,50,60,NA,NA,NA,NA,NA,Position,"6' 3""",189,CI
Marcos Castanon,NA,2B,Position,SDP,23,50,50,R,R,60,40,50,30,40,40,NA,NA,NA,NA,NA,Position,"6' 0""",195,MI
Marcus Lee Sang,NA,RF,Position,PHI,21,50,60,L,L,50,50,50,50,50,60,NA,NA,NA,NA,NA,Position,"6' 0""",200,OF
Mario Feliciano,NA,C,Catcher,MIL,23,50,60,R,R,50,40,60,30,40,55,NA,NA,NA,NA,NA,Position,"6' 1""",200,C
Mark Kolozsvary,NA,C,Catcher,CIN,27,30,50,R,R,40,40,50,40,50,45,NA,NA,NA,NA,NA,Position,"5' 8""",185,C
Mark Vientos,NA,1B,Position,NYM,22,60,60,R,R,40,60,70,40,50,50,NA,NA,NA,NA,NA,Position,"6' 4""",200,CI
Mason Albright,NA,SP,Pitcher,LAA,19,50,50,L,L,NA,NA,NA,NA,NA,NA,50,NA,60,50,50,Pitcher,"6' 0""",190,SP
Mason Black,NA,MIRP,Pitcher,SFG,22,60,60,R,R,NA,NA,NA,NA,NA,NA,60,50,NA,60,40,Pitcher,"6' 3""",210,RP
Mason Denaburg,NA,SP,Pitcher,WSN,23,60,50,R,R,NA,NA,NA,NA,NA,NA,60,NA,60,60,50,Pitcher,"6' 4""",195,SP
Mason Englert,NA,SP,Pitcher,TEX,22,60,60,S,R,NA,NA,NA,NA,NA,NA,50,60,50,60,60,Pitcher,"6' 4""",206,SP
Mason Erla,NA,MIRP,Pitcher,LAA,25,60,60,R,R,NA,NA,NA,NA,NA,NA,60,50,NA,60,45,Pitcher,"6' 4""",200,RP
Mason Martin,NA,1B,Position,PIT,23,50,70,L,R,40,60,70,40,50,40,NA,NA,NA,NA,NA,Position,"6' 0""",220,CI
Mason Miller,NA,SIRP,Pitcher,OAK,24,70,60,R,R,NA,NA,NA,NA,NA,NA,70,60,NA,50,40,Pitcher,"6' 5""",211,RP
Mason Montgomery,NA,SP,Pitcher,TBR,22,60,50,L,L,NA,NA,NA,NA,NA,NA,60,50,NA,70,45,Pitcher,"6' 2""",195,SP
Masyn Winn,55,SS,Position,STL,20,40,50,R,R,60,50,60,60,50,80,NA,NA,NA,NA,NA,Position,"5' 10""",180,MI
Mat Olsen,NA,SIRP,Pitcher,SFG,22,40,50,R,R,NA,NA,NA,NA,NA,NA,60,60,60,NA,40,Pitcher,"5' 11""",185,RP
Matheu Nelson,NA,C,Catcher,CIN,23,40,70,R,R,40,50,60,30,40,55,NA,NA,NA,NA,NA,Position,"5' 11""",220,C
Matt Allan,NA,SP,Pitcher,NYM,21,60,60,R,R,NA,NA,NA,NA,NA,NA,60,NA,70,60,45,Pitcher,"6' 3""",210,SP
Matt Canterino,NA,MIRP,Pitcher,MIN,24,60,70,R,R,NA,NA,NA,NA,NA,NA,60,60,60,60,45,Pitcher,"6' 2""",222,RP
Matt Cronin,NA,SIRP,Pitcher,WSN,25,60,60,L,L,NA,NA,NA,NA,NA,NA,70,NA,60,50,45,Pitcher,"6' 2""",197,RP
Matt Dyer,NA,C,Catcher,TBR,24,60,50,R,R,30,40,60,60,40,60,NA,NA,NA,NA,NA,Position,"6' 4""",185,C
Matt Fraizer,NA,CF,Position,PIT,24,60,60,L,R,50,50,50,60,50,45,NA,NA,NA,NA,NA,Position,"6' 3""",217,OF
Matt McLain,NA,SS,Position,CIN,23,40,50,R,R,60,40,50,60,50,50,NA,NA,NA,NA,NA,Position,"5' 10""",175,MI
Matt Mervis,NA,1B,Position,CHC,24,60,70,L,L,40,50,60,30,50,NA,NA,NA,NA,NA,NA,Position,"6' 4""",225,CI
Matt Mikulski,NA,MIRP,Pitcher,SFG,23,60,60,L,L,NA,NA,NA,NA,NA,NA,60,50,50,70,45,Pitcher,"6' 4""",205,RP
Matt Sauer,NA,SP,Pitcher,NYY,23,60,80,R,R,NA,NA,NA,NA,NA,NA,60,60,NA,50,45,Pitcher,"6' 4""",245,SP
Matt Wallner,NA,DH,Position,MIN,24,60,70,L,R,40,60,70,40,30,70,NA,NA,NA,NA,NA,Position,"6' 4""",220,DH
Matthew Liberatore,84,SP,Pitcher,STL,22,70,60,L,L,NA,NA,NA,NA,NA,NA,50,60,60,60,70,Pitcher,"6' 5""",200,SP
Matthew Lugo,NA,SS,Position,BOS,21,50,50,R,R,50,40,50,60,50,55,NA,NA,NA,NA,NA,Position,"6' 1""",187,MI
Matthew Thompson,NA,SP,Pitcher,CHW,22,60,50,R,R,NA,NA,NA,NA,NA,NA,50,50,60,50,50,Pitcher,"6' 3""",184,SP
Max Bain,NA,SP,Pitcher,CHC,27,70,80,R,R,NA,NA,NA,NA,NA,NA,60,50,60,NA,40,Pitcher,"6' 5""",240,SP
Max Ferguson,NA,2B,Position,BOS,23,50,50,L,R,40,30,30,70,60,45,NA,NA,NA,NA,NA,Position,"6' 1""",180,MI
Max Kranick,NA,SP,Pitcher,PIT,25,60,70,R,R,NA,NA,NA,NA,NA,NA,60,50,NA,50,45,Pitcher,"6' 3""",220,SP
Max Lazar,NA,MIRP,Pitcher,MIL,23,60,50,R,R,NA,NA,NA,NA,NA,NA,50,NA,50,60,55,Pitcher,"6' 3""",185,RP
Max Meyer,NA,SP,Pitcher,MIA,23,50,50,R,R,NA,NA,NA,NA,NA,NA,60,70,NA,60,50,Pitcher,"6' 0""",196,SP
Max Muncy,NA,SS,Position,OAK,20,50,50,R,R,50,60,60,50,50,50,NA,NA,NA,NA,NA,Position,"6' 0""",176,MI
Max Wagner,NA,3B,Position,BAL,21,50,60,R,R,50,50,60,50,60,60,NA,NA,NA,NA,NA,Position,"6' 0""",215,CI
Maximo Acosta,NA,SS,Position,TEX,19,40,40,R,R,60,40,50,50,50,50,NA,NA,NA,NA,NA,Position,"5' 9""",170,MI
Maximo Martinez,NA,SP,Pitcher,LAD,18,60,60,R,R,NA,NA,NA,NA,NA,NA,60,50,60,40,55,Pitcher,"6' 2""",205,SP
McCade Brown,NA,SIRP,Pitcher,COL,22,70,70,R,R,NA,NA,NA,NA,NA,NA,60,60,50,50,50,Pitcher,"6' 6""",225,RP
Micah Ottenbreit,NA,SP,Pitcher,PHI,19,60,50,R,R,NA,NA,NA,NA,NA,NA,60,NA,60,60,50,Pitcher,"6' 4""",190,SP
Michael Busch,75,DH,Position,LAD,24,50,60,L,R,60,60,60,50,40,30,NA,NA,NA,NA,NA,Position,"6' 0""",207,DH
Michael Grove,NA,SP,Pitcher,LAD,25,60,60,R,R,NA,NA,NA,NA,NA,NA,60,50,60,40,50,Pitcher,"6' 3""",200,SP
Michael Guldberg,NA,CF,Position,OAK,23,50,40,R,R,50,40,40,60,60,55,NA,NA,NA,NA,NA,Position,"6' 0""",171,OF
Michael Kennedy,NA,SP,Pitcher,PIT,17,50,60,L,L,NA,NA,NA,NA,NA,NA,50,60,NA,60,60,Pitcher,"6' 1""",205,SP
Michael Knorr,NA,SP,Pitcher,HOU,22,70,80,R,R,NA,NA,NA,NA,NA,NA,60,50,50,60,55,Pitcher,"6' 5""",245,SP
Michael McGreevy,NA,SP,Pitcher,STL,22,60,60,R,R,NA,NA,NA,NA,NA,NA,50,60,50,50,55,Pitcher,"6' 4""",215,SP
Michael Mercado,NA,SP,Pitcher,TBR,23,60,50,R,R,NA,NA,NA,NA,NA,NA,60,60,50,50,50,Pitcher,"6' 4""",175,SP
Michael Morales,NA,SP,Pitcher,SEA,20,60,60,R,R,NA,NA,NA,NA,NA,NA,50,NA,60,50,50,Pitcher,"6' 2""",205,SP
Michael Plassmeyer,NA,SP,Pitcher,PHI,25,60,50,L,L,NA,NA,NA,NA,NA,NA,30,NA,50,60,60,Pitcher,"6' 2""",192,SP
Michael Toglia,NA,1B,Position,COL,24,60,60,S,L,40,50,60,30,60,55,NA,NA,NA,NA,NA,Position,"6' 4""",205,CI
Michel Otanez,NA,SIRP,Pitcher,NYM,25,60,60,R,R,NA,NA,NA,NA,NA,NA,70,60,NA,NA,35,Pitcher,"6' 3""",215,RP
Mick Abel,20,SP,Pitcher,PHI,21,70,50,R,R,NA,NA,NA,NA,NA,NA,70,NA,70,60,50,Pitcher,"6' 6""",190,SP
Miguel Amaya,NA,C,Catcher,CHC,23,50,70,R,R,50,40,50,30,60,50,NA,NA,NA,NA,NA,Position,"6' 1""",230,C
Miguel Bleis,59,RF,Position,BOS,18,60,40,R,R,50,60,60,50,50,55,NA,NA,NA,NA,NA,Position,"6' 2""",170,OF
Miguel Hiraldo,NA,3B,Position,TOR,22,40,40,R,R,50,50,60,40,50,55,NA,NA,NA,NA,NA,Position,"5' 11""",170,CI
Miguel Ullola,NA,SIRP,Pitcher,HOU,20,50,50,R,R,NA,NA,NA,NA,NA,NA,60,60,NA,NA,40,Pitcher,"6' 1""",184,RP
