Name,Pos,Age,Frame,Athl,Levers,Arm,Perf,Delivery,playerId
Po-Yu Chen,SP,21.0194444,,1,Long,,,,sa3014699
Yordany De Los Santos,3B,17.6444444,1,1,Med,50,,,sa3018408
Hunter Barco,SP,21.8166666,1,,Long,,1,,
Jared Triolo,3B,24.6694444,,,Med,55,,,sa3010272
Cody Bolton,SIRP,24.3055555,,,Long,,,-2,sa3004975
Tony Blanco Jr.,RF,17.4027777,2,1,Long,45,,,sa3019722
Michael Kennedy,SP,17.8583333,-1,,Short,,1,1,
Carmen Mlodzinski,MIRP,23.6388888,-1,,Med,,1,,sa3014505
Canaan Smith-Njigba,LF,23.4416666,-2,-1,Med,45,1,,23264
Jonathan Ornelas,SS,22.3694444,,1,Med,45,,,sa3006909
Abrahan Gutierrez,C,22.9416666,-2,-1,Short,45,,,sa3004263
Luisangel Acuna,2B,20.575,-1,,Short,55,1,,sa3008765
Jared Oliva,CF,26.8666666,1,1,Med,50,,,19968
Tekoah Roby,SP,21.0583333,1,1,Med,,,1,sa3014519
Trei Cruz,2B,24.2611111,,,Short,45,1,,sa3014420
Nick Garcia,SP,23.4694444,,1,Short,,,1,sa3014501
Winston Santos,SP,20.4833333,,,Short,,,,sa3015952
Izaac Pacheco,3B,19.8916666,1,,Med,60,,,sa3016969
Mason Martin,1B,23.3527777,-1,-2,Med,40,1,,sa3004885
Danyer Cueva,SS,18.3666666,,,Med,50,,,sa3015725
Dylan Smith,SP,22.3638888,1,,Med,,1,,sa3018113
Malcom Nunez,DH,21.5833333,-1,-2,Med,55,1,,sa3008113
Yerry Rodriguez,SIRP,24.9833333,,1,Short,,,-2,21955
Roberto Campos,RF,19.3194444,1,,Med,50,,,sa3014683
Sergio Campana,CF,20.5277777,1,1,Long,50,,,sa3009834
Emiliano Teodo,SIRP,21.6527777,-1,1,Med,,,-1,sa3015158
Luke Gold,2B,21.9972222,,,Med,30,1,,sa3019986
Joaquin Tejada,SP,19.2305555,,1,Med,,,1,sa3016207
Mitch Bratt,SP,19.2666666,,,Long,,,,sa3017719
Elvin Rodriguez,SP,24.525,2,1,Long,,,1,20962
Robert Gasser,SP,23.3583333,,1,Med,,1,1,sa3017310
Hudson Head,CF,21.5027777,,1,Med,55,,,sa3010889
Justin Slaten,SIRP,25.0666666,,,Long,,1,-1,sa3010309
Kody Clemens,2B,26.4,1,-1,Med,50,,,20572
Esteury Ruiz,CF,23.65,,-1,Med,40,,,21780
Sammy Siani,LF,21.8194444,-1,1,Med,40,,,sa3010704
Thomas Saggese,2B,20.4944444,,-1,Short,50,2,,sa3014503
Manuel Sequera,2B,20.0305555,-1,,Short,50,,,sa3015179
Dylan File,SP,26.3472222,,1,Med,,2,,sa3004197
Connor Scott,RF,23.0027777,1,1,Long,60,,,sa3008080
Avery Weems,MIRP,25.3416666,,,Med,,,,sa3010256
Wenceel Perez,SS,22.9416666,-1,1,Short,55,1,,sa3003326
Taylor Floyd,SIRP,24.8361111,,1,Med,,1,1,sa3011367
Max Kranick,SP,25.2166666,,-1,Long,,-1,-1,22175
Zack Hess,SIRP,25.6222222,,,Long,,,-1,sa3010777
Carlos Rodriguez,LF,21.8388888,-1,1,Short,50,1,,sa3005478
Nic Laio,SIRP,25.1972222,1,,Long,,,1,sa3009861
Ali Sanchez,C,25.7194444,1,,Med,55,,,18551
Hendry Mendez,CF,18.9222222,-1,,Med,,1,,sa3015727
Shalin Polanco,CF,18.675,1,-1,Long,50,,,sa3015699
Wilkel Hernandez,SP,23.4888888,2,,Long,,,1,sa918026
Joe Gray Jr.,RF,22.575,1,1,Med,55,1,,sa3008005
Carter Bins,C,24.4111111,1,1,Med,60,,,sa1115884
Parker Meadows,CF,22.9361111,2,1,Long,60,,,sa3007943
Hedbert Perez,LF,19.5138888,-1,,Short,30,1,,sa3014692
Austin Roberts,MIRP,24.2,,,Med,,1,,sa3010254
Daniel Cabrera,LF,24.0944444,-1,-1,Short,50,2,,sa3014452
Russell Smith,SIRP,24.0805555,1,-2,Long,,1,,sa3018191
Forrest Whitley,MIRP,25.0666666,1,-1,Long,,-2,-1,sa917930
Ben Brown,MIRP,23.0833333,2,1,Long,,1,,sa3005122
Jairo Solis,SIRP,22.7972222,1,1,Long,,,,sa3003037
Yohendrick Pinango,LF,20.4222222,-1,1,Short,55,,,sa3009539
Logan Cerny,CF,23.0305555,1,2,Med,40,1,,sa3017661
Bryce Ball,1B,24.2527777,1,-1,Long,45,2,,sa1170451
Jacob Melton,CF,22.0888888,1,1,Med,40,,,sa3019988
Chase Strumpf,3B,24.5861111,,,Med,50,1,,sa3010845
Shawn Dubin,SIRP,27.0916666,-1,1,Long,,1,,sa3007248
Eguy Rosario,3B,23.1222222,-1,,Short,50,1,,19964
Kevin Made,SS,20.0805555,2,1,Long,55,-2,,sa3014679
Brandon Valenzuela,C,22.0194444,1,1,Med,60,,,sa3005729
Kohl Franklin,SP,23.0833333,1,1,Med,,,,sa3008335
Garrett Hawkins,SP,22.6638888,1,,Long,,,1,sa3017383
Chris Clarke,SP,24.4055555,,,Med,,1,,sa3011411
Ryan Bergert,SP,22.5861111,-1,,Med,,-1,,sa3017418
Brandon Birdsell,SIRP,22.5444444,-1,-1,Med,,1,-1,
Michael Knorr,SP,22.4083333,,,,,,,
Henry Williams,SP,21.0583333,2,1,Long,,,2,
Bowden Francis,SP,26.4638888,,,Med,,2,1,20548
Alexis Hernandez,SS,17.7833333,1,1,Med,45,,,sa3018413
Joshua Mears,LF,21.6472222,1,,Med,55,,,sa3010162
Otto Lopez,2B,24.0222222,,1,Med,30,2,,19608
Christopher Paciolla,3B,18.5638888,1,1,Med,50,,,sa3020138
Efrain Contreras,SP,22.7694444,-2,,Short,,1,1,sa3005692
Dahian Santos,SP,19.6194444,1,1,Long,,,-1,sa3015282
Tyler Schlaffer,SP,21.375,1,,Med,,,,sa3011815
Korry Howell,CF,24.1055555,1,2,Med,45,,,sa3008238
Yosver Zulueta,SIRP,24.7111111,1,1,Med,,-2,1,sa3014869
Luke Little,SIRP,22.1083333,1,1,Long,,,-1,sa3014514
Estiven Machado,2B,20.0138888,,2,Short,50,-2,,sa3014715
Max Bain,SP,27.0333333,,,Med,,,-1,sa3014932
Hagen Danner,SIRP,24.025,,1,Long,,,,sa3004501
Edouard Julien,LF,23.4416666,-1,-1,Med,40,1,,sa3014445
Miguel Hiraldo,3B,22.0944444,-1,1,Short,55,,,sa3005486
Danny De Andrade,SS,18.4972222,1,1,Med,50,,,sa3015698
Hayden Juenger,SIRP,22.1666666,,,Long,,,,sa3017103
David Festa,SP,22.5861111,,,Long,,,1,sa3017788
Joey Murray,MIRP,26.0444444,,,Long,,1,1,sa3007234
Alerick Soularie,2B,23.2611111,-1,1,Short,45,,,sa3014436
Tanner Schobel,SS,21.3472222,-1,2,Short,60,1,,sa3020009
Aaron Sabato,1B,23.3472222,-2,-2,Short,50,1,,sa3014494
Kala'i Rosario,LF,20.2694444,,,Med,55,,,sa3015199
Blayne Enlow,MIRP,23.55,,,Med,,,,sa3005117
Louie Varland,SIRP,24.8333333,,,Med,,1,-2,27691
Brent Headrick,SP,24.8111111,1,-1,Med,,1,1,sa3011887
Yasser Mercedes,RF,17.8972222,1,,Med,60,,,sa3019557
Alberto Rodriguez,RF,22.0083333,-1,1,Short,55,1,,sa3005603
Travis Kuhn,SIRP,24.3861111,,1,Short,,1,1,sa3009928
Gabriel Gonzalez,RF,18.7638888,-1,,Short,50,1,,sa3015723
Joseph Hernandez,SP,22.3166666,,1,Med,,1,1,sa3006385
Jonatan Clase,CF,20.3777777,,1,Short,45,,,sa3008787
Caleb Freeman,SIRP,24.6277777,,-1,Long,,,1,sa3011339
Tyler Gentry,RF,23.6888888,,,Med,55,1,,sa3014485
Michael Morales,SP,20.1555555,1,,Med,,,1,sa3017783
Sean Burke,MIRP,22.8083333,2,1,Long,,-1,1,sa3017461
Andrew Hoffmann,SP,22.6861111,2,,Long,,,,sa3017202
Juan Then,SIRP,22.6722222,-1,1,Long,,,-1,sa3002793
Jonathan Cannon,SP,22.2222222,2,,Long,,,-1,
Samad Taylor,2B,24.2444444,,1,Short,40,1,,sa918192
Matthew Thompson,SP,22.1611111,1,1,Med,,,1,sa3011866
Beck Way,SP,23.175,2,1,Long,,,1,sa3014462
Kohl Simas,SP,22.7972222,,,Med,,,1,sa3016949
Drew Parrish,SP,24.8361111,-1,-1,Short,,1,1,sa3011395
Yoelqui Cespedes,CF,25.0416666,,1,Med,80,1,,sa3015137
Collin Snider,SIRP,26.9972222,,,Med,,,1,23307
Gerardo Carrillo,SIRP,24.0722222,1,-1,Med,,-1,-2,sa3002790
Peyton Pallette,SP,21.4166666,1,2,Long,,1,1,
John McMillon,SIRP,24.7,1,,Med,,-1,1,sa3015344
Armando Cruz,SS,18.7305555,-1,1,Short,50,,,sa3015695
Harvin Mendoza,1B,23.6416666,-1,,Short,45,1,,sa916997
Christian Chamberlain,SIRP,23.2194444,-1,1,Med,,-1,1,sa3014486
Jake Irvin,SP,25.6416666,2,1,Long,,1,1,sa3008223
Jordan Sprinkle,2B,21.5916666,-1,1,Short,35,1,,sa3019925
Ben Hernandez,SIRP,21.2722222,1,,Med,,,-1,sa3014541
Dominic Hamel,SP,23.6027777,,1,Med,,1,1,sa3017949
Aldo Ramirez,SP,21.425,-1,1,Med,,1,2,sa3005371
Yolbert Sanchez,SS,25.6,,1,Med,60,1,,sa3011471
Carter Jensen,C,19.2666666,-1,-1,Med,50,,,sa3017339
Jose Butto,SP,24.5555555,1,1,Med,,1,1,23313
Drew Millas,C,24.7333333,1,2,Med,60,,,sa3014475
Ronald Bolanos,SIRP,26.1277777,,,Long,,,-2,20041
Joel Diaz,SP,18.6194444,1,1,Med,,,,sa3015500
T.J. White,CF,19.2111111,2,2,Med,50,,,sa3017697
Angel Zerpa,MIRP,23.0333333,-1,,Short,,1,1,22717
Willy Fanas,CF,18.7111111,1,1,Med,50,,,sa3018389
Andry Lara,SP,19.7583333,-1,,Short,,1,,sa3014716
Darryl Collins,LF,20.8972222,-1,-1,Long,40,1,,sa3010154
Khalil Lee,RF,24.2861111,,1,Long,60,1,,19952
Daylen Lile,LF,19.8583333,,1,Short,45,-1,,sa3017698
Hayden Dunhurst,C,22.0555555,-2,,Med,60,1,,sa3019889
Mike Vasil,SP,22.5555555,-1,,Med,,,-1,sa3017915
Trey Lipscomb,3B,22.3194444,,,,,,,sa3020215
Trey Lipscomb,3B,22.3194444,,,,,,,sa3020215
Daniel Vasquez,SS,18.5083333,1,1,Long,60,-1,,sa392439
Michel Otanez,SIRP,25.2666666,1,-2,Long,,,-2,sa932611
Sammy Infante,3B,21.2972222,1,1,Med,45,1,,sa3014717
Shane Panzini,SP,20.9416666,-1,-1,Short,,,1,sa3018257
Jordany Ventura,MIRP,22.2583333,,1,Med,,,1,sa3008542
Jake Alu,3B,25.5083333,-1,,Short,45,2,,sa3010009
Brewer Hicklen,LF,26.6666666,,2,Med,55,,,20450
Luis Rodriguez,SP,19.85,1,1,Long,,,1,sa3017275
Evan Lee,SIRP,25.3083333,-1,1,Short,,1,1,24988
Seth Beer,DH,26.0583333,-1,-2,Med,45,1,,20493
Henry Ramos,RF,18.0527777,2,,Long,70,,,sa3018432
Zach Brzykcy,SIRP,23.2416666,,1,Med,,1,1,sa3014984
Ivan Melendez,1B,22.7083333,2,-1,Long,45,2,,sa3019859
Seth Shuman,SP,24.8555555,,1,Short,,1,1,sa3011187
Conor Grammes,SIRP,25.2222222,1,1,Med,,-1,-1,sa3011651
Israel Pineda,C,22.5166666,1,,Med,40,,,22906
Abdias De La Cruz,SS,17.9333333,,,Long,45,,,sa3019401
Tommy Henry,SP,25.1944444,1,,Long,,1,1,26285
Joe Elbis,SP,20.0416666,1,1,Med,,,,sa3015216
Dominic Canzone,RF,25.1472222,1,,Med,,1,,sa1115890
Jose Fernandez,SS,19.0472222,1,2,Med,60,-1,,sa3015204
Jorge Barrosa,CF,21.6444444,-1,,Short,45,1,,sa3005524
Andrew Pintar,2B,21.5444444,,,,,,,
Juan Corniel,SS,20.0194444,1,1,Med,55,-1,,sa3015169
Buddy Kennedy,3B,24.0111111,-1,-1,Short,45,1,1,22505
Neyfy Castillo,1B,21.6027777,1,1,Med,45,1,,sa3005544
Reggie Crawford,SIRP,21.8472222,,,Short,,-1,-2,
Will Wilson,2B,24.2166666,-1,-1,Short,45,,,sa3009871
Tristan Beck,SP,26.2916666,,,Med,,1,1,sa3008526
Ryan Murphy,SP,23.0027777,,,Med,,1,1,sa3014871
Landen Roupp,SP,24.0805555,,,Short,,1,,sa3017869
Ricardo Genoves,C,23.4027777,1,,Long,60,,,sa916844
Tristan Peters,RF,22.6083333,,1,Med,55,2,,sa3017851
Thomas Szapucki,MIRP,26.325,-1,,Short,,,-1,21065
Randy Rodriguez,SIRP,23.0944444,,1,Short,,1,,sa3006366
Victor Acosta,SS,18.3305555,-1,1,Short,60,-1,,sa3015705
Nick Zwack,SP,24.1888888,,,Long,,1,,sa3017867
Sal Stewart,3B,18.8388888,-2,-1,Med,55,1,,sa3020130
Sam Delaplane,SIRP,27.5333333,,,Med,,,,sa3004222
Ricardo Cabrera,2B,17.9416666,-1,,Short,40,1,,sa3018405
Adrian Sugastey,C,19.9611111,-1,-1,Med,45,1,,sa3015190
Steve Hajjar,SP,22.1722222,2,1,Med,,,1,sa3018177
Sean Hjelle,SP,25.4222222,1,1,Long,,1,1,21481
Levi Stoudt,MIRP,24.8472222,,,Med,,,,sa3014545
Marcos Cabrera,3B,20.9972222,1,,Med,60,,,sa3008890
Brett Auerbach,C,24.1166666,-1,1,Short,45,1,,sa3014941
Christian Roa,SP,23.5194444,,,Med,,1,1,sa3014477
Sean Boyle,SP,25.9444444,1,,Med,,1,,sa3007618
Jose Torres,SS,23.0305555,1,1,Med,60,,,sa3017396
Jose Torres,SS,23.0305555,1,1,Med,60,,,sa3017396
Anthony Garcia,RF,22.0944444,1,-1,Med,60,,,sa3005924
Mike Siani,CF,23.2305555,,1,Med,60,,,22557
Greg Weissert,SIRP,27.6805555,,,,,,,20375
Logan Tanner,C,21.9138888,,,Med,40,1,,sa3020117
Matt Sauer,SP,23.7166666,1,,Long,,,-1,sa3005118
Christian Encarnacion-Strand,3B,22.8555555,2,,Med,60,2,,sa3017756
Kyren Paris,2B,20.9111111,,1,Short,40,,,sa3011768
Trystan Vrieling,SP,22.0194444,1,1,Short,,,,
Jared Solomon,SIRP,25.3305555,2,1,Long,,1,1,23425
Alejandro Hidalgo,SP,19.3805555,,-1,Med,,,-1,sa3015151
Brock Selvidge,MIRP,20.1138888,1,,Long,,-2,-1,sa3017950
Daniel Duarte,SIRP,25.8472222,-1,-1,Short,,1,-1,17480
Mason Erla,MIRP,25.1388888,,-1,Long,,-1,-2,sa3017685
Brendan Beck,SP,24.0083333,,,Short,,2,1,
Ivan Johnson,2B,23.9944444,1,1,Med,45,,,sa1169627
Jadiel Sanchez,RF,21.4138888,1,,Short,55,,,sa3011629
Freddy Tarnok,SP,23.875,1,1,Med,,,,23324
Jackson Miller,C,20.7666666,1,,Med,50,-2,,sa3014529
Jake Madden,SIRP,20.7861111,1,1,Long,,,-1,
Ambioris Tavarez,3B,18.9083333,1,,Med,50,,,sa3019895
Kenya Huggins,SP,19.825,-1,,Med,,,-1,
Ben Joyce,SIRP,22.0611111,,,Long,,,-1,
Blake Burkhalter,MIRP,22.0555555,,,,,,,
Vin Timpanelli,SIRP,24.0194444,,1,Short,,2,1,sa3014814
Orlando Martinez,LF,24.6444444,,,Short,55,1,,sa3006664
Alan Rangel,SP,25.1333333,1,1,Long,,1,1,sa877578
Stuart Fairchild,CF,26.5611111,,1,Short,60,1,,20321
Coleman Crow,MIRP,21.775,,1,Med,,1,,sa3015142
Brandol Mezquita,CF,21.2361111,,1,Med,55,,,sa3006201
Davis Daniel,SIRP,25.3277777,1,1,Med,,1,1,sa3015037
Drake Baldwin,C,21.5305555,,,,,,,sa3019920
Mason Albright,SP,19.8694444,-1,,Med,,,1,sa3017847
Luke Waddell,2B,24.2388888,-2,-1,Short,30,2,,sa3017075
Walbert Urena,SP,18.7055555,,1,Med,,,-2,sa3018298
Braden Shewmake,SS,24.8888888,1,,Long,55,1,,sa3010332
Adam Seminaris,MIRP,23.9722222,1,1,Med,,1,1,sa3015010
Royber Salinas,SIRP,21.4972222,-2,-2,Med,,1,-1,sa3009243
Fernando Guanare,SP,19.3,1,1,Med,,1,,sa3015496
Brooks Wilson,MIRP,26.5666666,,2,Short,,1,,sa3006966
Kolton Ingram,SIRP,25.9666666,,,,,,,sa3011149
Victor Vodnik,SIRP,23,-1,,Short,,,-1,sa3008527
Jesse Franklin V,CF,23.8555555,,-1,Med,40,1,,sa3014532
Cal Conley,DH,23.2277777,,-1,Med,40,,,sa3017080
Austin Love,SP,23.7027777,1,-1,Long,,1,-1,sa3017609
Ian Bedell,SP,23.0944444,,-1,Med,,2,1,sa3014538
Denzel Clarke,CF,22.4388888,2,2,Long,,,,sa3017426
Brycen Mautz,SP,21.2277777,1,,Med,,,,
Joey Estes,SP,21.0027777,,1,Med,,1,1,sa3011637
Leonardo Bernal,C,18.6555555,,,Med,55,,,sa3015773
Euribiel Angeles,3B,20.4111111,-1,,Med,50,1,,sa3008877
Freddy Pacheco,SIRP,24.4777777,1,1,Long,,1,-1,sa3006164
Garrett Acton,SIRP,24.3166666,-1,,Short,,,,sa3014787
Lizandro Espinoza,SS,19.8861111,-1,1,Short,50,1,,sa3015611
Blake Beers,SP,24.2333333,1,1,Med,,,,sa3018004
Joshua Baez,RF,19.2805555,2,1,Long,55,-1,,sa3017022
Jacob Watters,SIRP,21.6,,,Med,,,-1,
Inohan Paniagua,SP,22.675,-1,2,Short,,1,,sa3006417
Mason Miller,SIRP,24.125,1,,Long,,,,sa3017934
Jorge Juan,SP,23.5916666,2,,Long,,,1,sa3005826
Brent Honeywell Jr.,SP,27.525,,1,Long,,,,16466
Christian Fernandez,SP,23.1611111,1,1,Med,,1,1,sa917688
Cody Thomas,RF,28.0027777,2,1,Long,60,1,,19828
Jack Weisenburger,SIRP,25.0027777,,-1,Long,,,-1,sa3011607
Pedro Pineda,CF,19.0916666,1,1,Long,60,-1,,sa3015703
Luis Barrera,CF,26.9,1,1,Long,70,,,19615
Michael Guldberg,CF,23.2972222,,1,Short,55,,,sa3014822
Logan Davidson,SS,24.8138888,1,1,Long,60,-1,,sa918676
Brian Howard,SP,27.4555555,1,1,Long,,1,1,sa918377
Cade Povich,SP,22.4916666,2,1,Long,,1,1,sa3017787
Carter Baumler,SP,20.6916666,1,,Med,,-2,1,sa3014480
Darell Hernaiz,SS,21.1833333,1,1,Med,55,1,,sa3011309
Hudson Haskin,CF,23.775,,1,Short,60,1,,sa3014449
Max Wagner,3B,21.1388888,,1,Med,60,1,,sa3020415
Tommy Mace,SP,23.9111111,1,,Med,,,,sa3018140
Jean Pinto,SIRP,21.75,-1,,Med,,1,-1,sa3011803
Jaison Chourio,RF,17.3888888,1,1,Long,50,,,sa3018399
Chayce McDermott,SP,24.1305555,1,,Long,,-1,-1,sa3017420
Peyton Battenfield,MIRP,25.1638888,-1,-1,Med,,1,1,sa3010133
Mishael Deson,LF,20.2555555,2,,Long,45,1,,sa3008828
Lenny Torres,SP,21.9833333,1,2,Med,,-1,,sa3008329
Donta' Williams,CF,23.275,,1,Short,,,,sa3017152
Robert Lopez,C,18.7694444,-1,1,Short,55,1,,sa3016641
Kyle Brnovich,SP,24.9694444,,,Med,,1,,sa3014923
Tanner Burns,SP,23.7805555,-1,,Short,,1,,sa3014451
Peter Heubeck,SP,20.2138888,1,1,Long,,,1,sa3017936
Maikol Hernandez,SS,19.0138888,1,1,Long,60,,,sa3015712
Jack Leftwich,SP,24.0361111,,,Med,,1,,sa3018169
James Outman,CF,25.4027777,1,1,Med,55,1,,24770
Kevin Guerrero,RF,18.4777777,2,1,Med,60,1,,sa3015737
Joe Lampe,CF,21.8444444,1,1,Med,45,,,sa3020642
Thayron Liranzo,C,19.2611111,1,,Med,45,,,sa3015790
Carter Young,SS,21.4805555,-1,1,Short,60,,,sa3020534
Doug Nikhazy,SP,23.1611111,-1,1,Short,,1,1,sa3018110
Jesus Galiz,C,18.8333333,,,Med,70,-1,,sa3015700
Chris Vallimont,MIRP,25.5583333,,,Short,,,-1,sa3008026
Richie Palacios,DH,25.3972222,1,1,Short,30,,,24589
Maximo Martinez,SP,18.3,-1,,Short,,1,1,sa3016026
Hunter Gaddis,MIRP,24.5,-1,,Long,,,,25636
Nick Robertson,SIRP,24.2305555,1,,Long,,,1,sa3011248
Josh Wolf,MIRP,22.1055555,-1,1,Long,,,-1,sa3011638
Ronan Kopp,SIRP,20.1944444,1,-1,Long,,-2,-1,sa3017751
Milan Tolentino,SS,20.8944444,-1,,Short,55,,,sa3014544
Eddys Leonard,3B,21.9138888,-1,-1,Short,50,2,,sa3005554
Ben Casparius,MIRP,23.6611111,,,Med,,1,,sa3017886
Jonny DeLuca,RF,24.2472222,-1,,Med,60,1,,sa3011644
Gus Varland,MIRP,25.925,,,Med,,1,,sa3007779
Ryan Noda,1B,26.525,-1,-1,Low,50,2,,sa873960
Hyun-il Choi,MIRP,22.3666666,-1,-1,Med,,1,,sa3009992
William Bergolla,SS,17.9972222,,2,Short,55,,,sa3019777
Micah Ottenbreit,SP,19.4222222,2,1,Long,,-1,1,sa3017860
Jordan Viars,CF,19.225,1,,Short,50,,,sa3017429
James McArthur,SIRP,25.8277777,,-1,Long,,1,-1,sa3007715
Alika Williams,SS,23.575,,1,Med,55,1,,sa3014427
Donny Sands,C,26.3972222,-1,-1,Med,45,,,18603
Michael Mercado,SP,23.4833333,2,,Long,,-2,1,sa3005024
Casey Martin,SS,23.5055555,,2,Short,55,,,sa3014524
Tanner Murray,2B,23.1,,,Med,40,,,sa3016805
Kevin Smith,SP,25.4055555,-1,,Med,,,-1,sa3007710
Reny Artiles,SP,20.7277777,,,Med,,,,sa3008716
Ryan Ward,LF,24.6277777,,-1,Med,30,2,,sa1169792
Cole Uvila,SIRP,28.6916666,,,Long,,1,1,sa3006804
Trey Benton,SIRP,24.3083333,,,Long,,,,sa3015034
Brandon Lewis,1B,23.9611111,,-1,Med,60,1,,sa3010035
Trace Bright,SIRP,21.9527777,,,,,,,
Jacob Zibin,SP,17.6916666,,1,Med,,,-1,
Alex Freeland,3B,21.125,,,,,,,sa3020653
Ignacio Feliz,SP,22.9611111,-1,2,Short,,,2,sa3002982
Nic Enright,SIRP,25.7527777,,,Short,,,,sa3010299
Jose Hernandez,SIRP,24.775,,,Long,,,,sa928463
Isaac Mattson,SIRP,27.2361111,1,,Long,,,-1,20385
Guillermo Zuniga,SIRP,23.9972222,-1,-2,Long,,,,sa945024
Kendall Simmons,SS,22.4944444,,,Med,55,,,sa3006867
Tanner Dodson,SIRP,25.4166666,,1,Med,,,,sa3007008
Jamari Baylor,2B,22.1777777,,1,Short,55,,,sa3011446
Carlos De Los Santos,SIRP,21.8916666,-1,,Short,,-1,,sa3005448
Damon Jones,SIRP,28.025,1,-1,Long,,1,-1,23310
Madison Jeffrey,SIRP,22.5694444,-1,,Med,,-1,,sa3018206
Andrew Schultz,SIRP,25.1916666,,,Med,,,-1,sa3010782
Jorge Gonzalez,SIRP,20.1083333,,,Med,,,,sa3009504
Blake Brown,SIRP,24.1416666,,1,Med,,,-1,sa3014847
Nelson Quiroz,C,20.9277777,-1,,Short,40,1,,sa3009565
Nikau Pouaka-Grego,2B,18.0722222,-1,1,Short,45,,,sa3018959
Robinson Ortiz,MIRP,22.7638888,-1,,Long,,,-1,sa3004006
Andrew Baker,SIRP,22.5416666,1,1,Long,,-1,-1,sa3017196
Ryan Cermak,RF,21.3527777,,,,,,,sa3020204
Christopher Campos,SS,22.1555555,,,,,,,
Alex McFarlane,SIRP,21.3333333,2,2,Long,,,-2,
Brock Jones,RF,21.5305555,,,Med,,,,sa3020190
Michael Plassmeyer,SP,25.9277777,-1,,Med,,,,23191
Ryan Spikes,2B,19.5722222,,1,Short,,,,sa3017792
Rafael Marcano,SIRP,22.4694444,,,Short,,1,1,sa3008330
Gary Gill Hill,SP,18.0527777,,,,,,,
Dominic Pipkin,SIRP,22.9277777,2,1,Long,,,,sa3007896
Jose Lopez,MIRP,23.65,1,,Long,,,-1,sa3003055
Jean Cabrera,SP,20.9694444,2,,Long,,,1,sa3015433
Joe LaSorsa,SIRP,24.4444444,,,,,,,sa3010137
Gunner Mayer,SIRP,22.2,2,1,Med,,,2,sa3011199
Brett Wisely,2B,23.4194444,,,Short,,,,sa1170003
Jose Pena Jr.,SIRP,19.2527777,1,1,Med,,,1,sa3017821
Victor Munoz,SP,21.7888888,,-1,Med,,,,sa3006381
Gabriel Rincones Jr.,LF,21.6,,,,,,,
Hunter Barnhart,SP,20.6527777,1,,Long,,-1,1,sa3014467
Baron Radcliff,1B,23.6666666,,-1,Med,40,,,sa3014424
Matt Dyer,C,24.2361111,1,1,Long,60,,,sa3014883
Nicoly Pina,SIRP,23.0027777,-1,,Med,,,,sa3005875
Ronny Simon,3B,22.4777777,,,Med,,,,sa3008365
Starlyn Castillo,SIRP,20.625,-1,,Med,,,,sa3011608
Xavier Isaac,1B,18.8111111,,,,,,,sa3020498
Marcus Lee Sang,RF,21.7694444,,1,Med,60,,,sa3011445
Josh Roberson,SIRP,26.4083333,,1,Long,,,,sa3007721
Yhoswar Garcia,CF,21.0722222,2,1,Short,,,,sa3015117
Yoniel Curet,SP,19.9333333,1,1,Med,,,1,sa3015446
Evan Reifert,SIRP,23.4027777,1,1,Long,,,-1,sa3014860
Justin Sterner,SIRP,26.1111111,-1,-1,Short,,2,-1,sa3014864
Jhonny Piron,CF,18.3527777,1,1,Med,55,-1,,sa3015702
Chris Muller,SIRP,26.4638888,,,Med,,,,sa3006811
Alejandro Pie,3B,20.6916666,2,1,Long,60,,,sa3008754
Trevor Martin,SIRP,21.8166666,,,,,,,
Dominic Keegan,1B,22.1888888,,,,,,,sa3020194
Johan Lopez,2B,22.1972222,1,,Med,,,,sa3003228
Juan Guerrero,LF,21.0805555,,,Long,50,,,sa3008759
Linse Carvajal,SIRP,23.8444444,-1,1,Med,,-2,1,sa3016841
Cutter Coffey,SS,18.3833333,,,,,,,sa3020280
Angel Chivilli,SIRP,20.1972222,,,Long,,,-1,sa3009470
Antony Peguero,RF,17.3194444,,,Long,50,,,sa3018630
Alexander Alberto,SP,20.9361111,2,,Long,,-1,,sa3015986
Roman Anthony,RF,18.4055555,,,,,,,sa3020211
Ronaiker Palma,C,22.7694444,-1,2,Short,60,,,sa3005624
Zach King,SP,24.4416666,,,,,,,sa3011592
Cade Halemanu,SIRP,22.1666666,2,,Long,,,,
Freili Encarnacion,3B,17.7027777,1,1,Med,55,,,sa3018414
Riley Pint,SIRP,24.925,2,1,Long,,-2,-2,sa917922
Jordan McCants,SS,20.3833333,1,1,Med,45,,,sa3017294
Neraldo Catalina,SIRP,22.3,2,,Med,,-1,,sa1172730
Eduardo Lopez,CF,20.4194444,,1,Med,55,,,sa3009275
Jackson Cox,SP,19.0388888,,1,Med,,,-1,
Osiris Johnson,CF,21.975,,1,Long,50,,,sa3008110
Joel Peguero,SIRP,25.4277777,1,1,Med,,-1,-1,sa917689
Luis Perales,SIRP,19.4861111,,1,Long,,,1,sa3014677
Michael Toglia,1B,24.1472222,1,-1,Med,55,-1,,25845
Luis Vizcaino,SP,21.25,,,,,,,sa3011812
Brendan McKay,SP,26.8083333,,1,Short,,-2,1,20186
Zack Kelly,SIRP,27.6,,,Med,,,,20349
Blair Calvo,SIRP,26.6166666,,,Long,,,-1,sa3010116
Andrew Nardi,MIRP,24.1416666,,,Low,,1,,25942
