Name,Pos,Age,Frame,Athl,Levers,Arm,Perf,Delivery,playerId
Kristian Robinson,RF,21.8277777,2,1,Long,60,-2,,sa3006884
Aeverson Arteaga,SS,19.5638888,1,2,Med,60,,,sa3014707
Carson Whisenhunt,SP,21.9694444,,1,Long,,1,1,
R.J. Dabovich,SIRP,23.7444444,,,Med,,2,1,sa3014431
Heliot Ramos,RF,23.0888888,-1,1,Short,60,1,,22515
Jairo Pomares,RF,22.1805555,,,Med,50,1,,sa3010023
Matt McLain,SS,23.175,-1,,Short,50,1,,sa3017154
Daniel Vellojin,C,22.5666666,,1,Short,50,1,,sa3005587
Spencer Steer,2B,24.8388888,,-1,Med,50,2,,26323
Tyler Callihan,2B,22.2972222,-1,-1,Med,50,1,,sa1169610
Connor Phillips,MIRP,21.4305555,-1,,Long,,1,,sa3014433
Andrew Abbott,SP,23.3555555,,1,Med,,1,-1,sa3017529
Drew Thorpe,SP,21.0222222,,,Long,,1,1,
Austin Wells,RF,23.2416666,1,,Med,40,1,,sa3014440
Trey Sweeney,3B,22.4583333,1,,Med,40,1,,sa3016973
Spencer Jones,RF,21.4027777,2,1,Long,50,,,sa3019969
Clayton Beeter,SIRP,24,,-1,Long,,,2,sa3014536
Chase Silseth,SP,22.3916666,-1,-1,Short,,-1,-1,30074
Alexander Vargas,SS,20.9444444,1,2,Med,60,-1,,sa3008851
Sam Bachman,SIRP,23.025,,-1,Med,,1,-1,sa3017261
Luis Gil,SIRP,24.35,1,1,Long,,,,21052
Arol Vera,SS,20.075,1,,Med,60,,,sa3014687
Jared Shuster,SP,24.1833333,1,,Med,,1,1,sa3014483
Kyle Muller,SIRP,25.0055555,2,1,Long,,-1,-1,20167
Owen Murphy,SP,19.0333333,-1,1,Med,,1,2,
JR Ritchie,SP,19.2861111,1,1,Med,,,2,
Grant McCray,CF,21.8388888,1,1,Long,,,,sa3010042
Gunnar Hoglund,SP,22.8111111,-1,,Short,,2,2,
Daniel Susac,C,21.4027777,,-1,Long,45,1,,sa3019997
Ryan Cusick,SIRP,22.9083333,-1,,Med,,-1,-1,sa3017385
Cooper Hjerpe,SP,21.5638888,1,1,Long,,1,1,
J.T. Ginn,SP,23.3861111,,,Med,,,,sa3014428
Brayan Buelvas,CF,20.3361111,-1,1,Med,55,1,,sa3008868
Angel Martinez,SS,20.7138888,,2,Short,60,,,sa3008762
Jordan Westburg,2B,23.6416666,,-1,Med,45,1,,sa3014499
Chase DeLauter,RF,21.0027777,-1,-1,Med,60,2,,
Kyle Stowers,RF,24.7694444,1,1,Long,60,1,,26151
Xzavion Curry,SP,24.2,-1,,Short,,1,1,25595
Jud Fabian,CF,22.0333333,,1,Med,60,2,,sa3019942
Jose Tena,SS,21.5527777,,1,Med,60,1,,sa3005482
Heston Kjerstad,RF,23.6583333,1,,Med,50,-2,,sa3014439
Parker Messick,SP,21.9527777,-2,,Short,,,,
Dylan Beavers,RF,21.1611111,1,,Long,60,,,sa3019983
Gabriel Arias,SS,22.6166666,1,2,Med,60,,,22563
Terrin Vavra,2B,25.4083333,-1,1,Short,50,1,,24400
Petey Halpin,CF,20.3694444,,1,Med,60,1,,sa3014461
Dayan Frias,SS,20.2888888,,,Short,50,1,,sa3008768
